brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure
广汽传祺,传祺GS3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a3e0987f48e44deb8709e776e4131cd7~tplv-resize:640:0.png,2741,"[6.98, 9.58]",广汽乘用车,123,小型SUV,汽油,2023.03,3年或10万公里
丰田,亚洲龙,https://p3-dcd.byteimg.com/img/motor-mis-img/5130f932ae52503625175eb6e79aaa5a~tplv-resize:640:0.png,2739,"[16.48, 24.48]",一汽丰田,124,中型车,汽油,2023.05,4年或10万公里
五菱汽车,五菱星辰,https://p3-dcd.byteimg.com/img/motor-mis-img/ef2d3df828e04fead57e3c86279360bd~tplv-resize:640:0.png,2710,"[6.38, 9.98]",上汽通用五菱,125,紧凑型SUV,油电混合,2022.08,3年或10万公里
极氪,ZEEKR 001,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/04cd0a329af2459aaa5bb466ac245805~tplv-resize:640:0.png,2663,"[26.9, 76.9]",极氪,126,中大型车,纯电动,2024.02,4年或10万公里
长安,长安CS35 PLUS,https://p3-dcd.byteimg.com/img/motor-mis-img/810127c3c51f072dd2ea70a1a5aa09db~tplv-resize:640:0.png,2633,"[6.99, 8.19]",长安汽车,127,小型SUV,汽油,2023.09,3年或10万公里
丰田,格瑞维亚,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/dc353aa6c1ef46eda1ea28f39304c725~tplv-resize:640:0.png,2541,"[28.58, 38.58]",一汽丰田,128,中大型MPV,油电混合,2023.04,4年或10万公里
别克,微蓝6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/550b6dc2a2c44e06a3e9b666927fa56f~tplv-resize:640:0.png,2535,"[9.98, 10.28]",上汽通用别克,129,紧凑型车,纯电动,2023.10,3年或10万公里
奇瑞,瑞虎9,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b902804d7fc84f5e9ca12ac0d2ff0e27~tplv-resize:640:0.png,2530,"[14.59, 20.29]",奇瑞汽车,130,中型SUV,汽油,2023.05,3年或10万公里
大众,途昂,https://p9-dcd.byteimg.com/img/motor-mis-img/10e227cb6150184e8a7177c3ede5ea06~tplv-resize:640:0.png,2496,"[24, 35.5]",上汽大众,131,中大型SUV,汽油,2023.09,3年或10万公里
五菱汽车,五菱荣光,https://p9-dcd.byteimg.com/img/motor-mis-img/efe0d84f810fe914c7149c51a6c1658e~tplv-resize:640:0.png,2450,"[4.09, 4.75]",上汽通用五菱,132,微面,汽油,2023.04,3年或6万公里
日产,奇骏,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5ae572c93a99402d89bab23657b64d6e~tplv-resize:640:0.png,2427,"[15.73, 24.99]",东风日产,133,紧凑型SUV,汽油电驱,2023.05,3年或10万公里
长安欧尚,长安欧尚X7 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/792f6cb783e54f76b76081f54eb719ad~tplv-resize:640:0.png,2407,"[7.39, 11.99]",长安汽车,134,紧凑型SUV,汽油,2023.04,3年或10万公里
比亚迪,汉EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e6d6f7c2291d47f6a4a7d19c3ec01892~tplv-resize:640:0.png,2371,"[17.98, 26.98]",比亚迪,135,中大型车,纯电动,2024.02,6年或15万公里
哪吒汽车,哪吒X,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/dfb6468c733e43e99230cfbfb4652d30~tplv-resize:640:0.png,2338,"[9.98, 12.48]",合众汽车,136,紧凑型SUV,纯电动,2024.02,4年或12万公里
方程豹,豹5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5c4dd30eca44470a917d366c05db05b5~tplv-resize:640:0.png,2310,"[28.98, 35.28]",方程豹,137,中型SUV,插电式混合动力,2023.11,6年或15万公里
奔驰,奔驰A级,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f3aa2146a74d47e3ab4844b147234e37~tplv-resize:640:0.png,2309,"[14.97, 17.23]",北京奔驰,138,紧凑型车,汽油,2023.05,3年不限公里
现代,途胜,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f2f194412c334188ace3731595a91729~tplv-resize:640:0.png,2305,"[12.88, 22.58]",北京现代,139,紧凑型SUV,汽油,2022.11,可选:3年或15万公里/5年或10万公里/7年或7万公里
大众,大众CC,https://p9-dcd.byteimg.com/img/motor-mis-img/bc1a1cfcace04020b804932bd5c78749~tplv-resize:640:0.png,2287,"[19.79, 24.79]",一汽-大众,140,中型车,汽油,2022.09,3年或10万公里
零跑汽车,零跑C10,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4c387f25931643fa924a70eb49342838~tplv-resize:640:0.png,2266,"[12.88, 16.88]",零跑汽车,141,中型SUV,增程式,2024.03,4年或12万公里
吉利银河,银河L6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/0b3ee25dceca4fe5982a29702074a0a2~tplv-resize:640:0.png,2256,"[9.38, 13.28]",吉利银河,142,紧凑型车,插电式混合动力,2024.03,4年或10万公里
奥迪,奥迪Q3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/cec6f6ed88e64f038b81185e048ebf8a~tplv-resize:640:0.png,2245,"[19.03, 23.85]",一汽-大众奥迪,143,紧凑型SUV,汽油,2023.08,3年或10万公里
宝马,宝马iX3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/39eb11e1ba734c17b6a5b4c9762123ff~tplv-resize:640:0.png,2177,"[26.6, 29.81]",华晨宝马,144,中型SUV,纯电动,2024.01,3年或10万公里
东风风神,奕炫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f2597be887af41fdb6174c3200a98d2c~tplv-resize:640:0.png,2151,"[6.48, 9.38]",东风乘用车,145,紧凑型车,汽油,2024.01,3年或10万公里
名爵,MG7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b0f952ca6faf46b1bb0fc809ab964a49~tplv-resize:640:0.png,2139,"[11.98, 16.98]",上汽集团,146,中型车,汽油,2023.03,3年或10万公里
奇瑞,探索06,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/93b15f0f1967433faca5cac4ef9289cd~tplv-resize:640:0.png,2138,"[10.49, 13.29]",奇瑞汽车,147,紧凑型SUV,汽油,2023.12,3年或10万公里
魏牌,蓝山DHT-PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d81ba06d1efb4049a67bd2fd3b4e7f03~tplv-resize:640:0.png,2108,"[27.38, 30.88]",长城汽车,148,中大型SUV,插电式混合动力,2023.04,5年或15万公里
吉利银河,银河E8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ab1b4cc0df104ee59855465e9649824a~tplv-resize:640:0.png,2089,"[17.58, 22.88]",吉利银河,149,中大型车,纯电动,2024.01,6年或15万公里
现代,现代ix35,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4759d1d531d7489dbb01a2bad3506c6b~tplv-resize:640:0.png,2085,"[9.98, 14.58]",北京现代,150,紧凑型SUV,汽油,2023.06,可选：5年或10万公里/7年或7万公里/3年或15万公里
捷途,捷途大圣,https://p3-dcd.byteimg.com/img/motor-mis-img/5ba123b24bd9a5f043a996a09501b6dd~tplv-resize:640:0.png,2077,"[9.39, 12.69]",奇瑞汽车,151,紧凑型SUV,汽油,2023.10,4年或10万公里
广汽传祺,传祺M8,https://p3-dcd.byteimg.com/img/motor-mis-img/6e784e8e17abc04adea0d726fe51ff69~tplv-resize:640:0.png,2070,"[16.98, 33.89]",广汽乘用车,152,中大型MPV,汽油,2023.07,3年或10万公里
吉利几何,吉利几何E萤火虫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ab171bed6a464941a57445172e7bf752~tplv-resize:640:0.png,2044,"[5.98, 8.98]",吉利几何,153,小型SUV,纯电动,2024.03,4年或10万公里
零跑汽车,零跑T03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a1da801e023c4207ab9ba55d995637d0~tplv-resize:640:0.png,2043,"[4.49, 7.79]",零跑汽车,154,微型车,纯电动,2024.03,3年或12万公里
坦克,坦克500 Hi4-T,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/7fbd823a6e444011b0b69c2a19c6fcb1~tplv-resize:640:0.png,2034,"[33.5, 33.5]",长城汽车,155,中大型SUV,插电式混合动力,2023.06,5年或15万公里
哈弗,哈弗猛龙,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c32096c27314426097e1f0b95a3c8839~tplv-resize:640:0.png,2003,"[16.58, 18.38]",长城汽车,156,紧凑型SUV,插电式混合动力,2023.10,6年或15万公里
蔚来,蔚来ET5T,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a03cf015743343d0aa5a45c8b02551c9~tplv-resize:640:0.png,1983,"[29.8, 35.6]",蔚来,157,中型车,纯电动,2024.02,3年或12万公里
奇瑞新能源,QQ冰淇淋,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b949ba428bc143aeb2bcfdef93eb7f61~tplv-resize:640:0.png,1970,"[2.99, 5.752]",奇瑞新能源,158,微型车,纯电动,2023.08,3年或10万公里
福特,领睿,https://p9-dcd.byteimg.com/img/motor-mis-img/2e84d7b827ee1d79eea53e9aec7ff9de~tplv-resize:640:0.png,1934,"[11.18, 15.48]",江铃福特,159,中型SUV,汽油,2023.08,3年或10万公里
蓝电,蓝电E5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a85640b7405f4d3889bc55d63edbd0c8~tplv-resize:640:0.png,1915,"[9.98, 12.18]",赛力斯蓝电汽车,160,中型SUV,插电式混合动力,2023.03,6年或15万公里
长安欧尚,长安欧尚Z6 iDD新能源,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9d2a56308a184ed89115a0b35d840d2e~tplv-resize:640:0.png,1891,"[12.58, 14.58]",长安汽车,161,紧凑型SUV,插电式混合动力,2023.06,3年或12万公里
马自达,马自达3 昂克赛拉,https://p9-dcd.byteimg.com/img/motor-mis-img/2ed9950bbf60e473727cf3735528e032~tplv-resize:640:0.png,1873,"[8.99, 17.69]",长安马自达,162,紧凑型车,汽油,2023.07,3年或10万公里
本田,飞度,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b904c6bfc5094657bbcad15af499fd16~tplv-resize:640:0.png,1844,"[7.68, 9.88]",广汽本田,163,小型车,汽油,2024.03,3年或10万公里
别克,昂科威,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8c49aa2236a74207a201bac3a1f90046~tplv-resize:640:0.png,1781,"[14.99, 23.59]",上汽通用别克,164,中型SUV,48V轻混系统,2023.03,3年或10万公里
奇瑞,艾瑞泽5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/aef5212cbadd4c05a9c450eaed0813e1~tplv-resize:640:0.png,1775,"[5.39, 8.58]",奇瑞汽车,165,紧凑型车,汽油,2023.10,3年或10万公里
沃尔沃,沃尔沃S90,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/29edd1a1863d4861850a5e55c29532e8~tplv-resize:640:0.png,1770,"[30.69, 40.59]",沃尔沃亚太,166,中大型车,48V轻混系统,2023.06,3年不限公里
长安启源,长安启源Q05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d89973a091064602a82752ce8274ef5a~tplv-resize:640:0.png,1749,"[9.69, 12.19]",长安启源,167,紧凑型SUV,插电式混合动力,2023.12,3年或15万公里
大众,揽巡,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8c9d9e77cdf5462a86c515692b23c0e7~tplv-resize:640:0.png,1735,"[22.99, 28.09]",一汽-大众,168,中大型SUV,汽油,2023.11,3年或10万公里
马自达,马自达CX-5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/cd0afa2cba3f4fba8cfdac2c4417a60b~tplv-resize:640:0.png,1733,"[12.38, 20.68]",长安马自达,169,紧凑型SUV,汽油,2023.09,3年或10万公里
欧拉,欧拉好猫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4d618ed49b0e4372b02670629a04f337~tplv-resize:640:0.png,1731,"[10.48, 14.08]",长城汽车,170,小型车,纯电动,2023.02,4年或15万公里
长安启源,长安启源A07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8a84daad1c4b416aac405f4ec61a2e4c~tplv-resize:640:0.png,1723,"[13.59, 16.39]",长安启源,171,中大型车,纯电动,2024.03,3年或15万公里
本田,本田HR-V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/24baeca15ca34c83a4e9ceaf09de58ea~tplv-resize:640:0.png,1715,"[13.09, 18.08]",东风本田,172,紧凑型SUV,汽油,2023.04,3年或10万公里
广汽传祺,影豹,https://p9-dcd.byteimg.com/img/motor-mis-img/d0be756edf1c5cf4c9e6552497309e85~tplv-resize:640:0.png,1714,"[9.2, 14.2]",广汽乘用车,173,紧凑型车,汽油,2023.03,3年或10万公里
大运,悦虎,https://p3-dcd.byteimg.com/img/motor-mis-img/734908e2eb6373bc7e736fae703e25f6~tplv-resize:640:0.png,1712,"[5.68, 8.58]",大运汽车,174,小型SUV,纯电动,2023.06,3年或12万公里
北京,北京BJ40,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/3a8235032015497c9b815308b121c4ba~tplv-resize:640:0.png,1692,"[14.98, 26.99]",北京汽车,175,紧凑型SUV,汽油,2023.11,5年或15万公里
丰田,丰田bZ3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/cbf3ea024efc4e49ad282ed1bdc84cc4~tplv-resize:640:0.png,1674,"[14.48, 17.48]",一汽丰田,176,中型车,纯电动,2024.01,3年或10万公里
东风纳米,纳米01,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/41f1b82ed40042a88bf6c8de6cddbf9f~tplv-resize:640:0.png,1668,"[7.48, 10.68]",东风汽车,177,小型车,纯电动,2024.01,3年不限里程
零跑汽车,零跑C11,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5f33df9609c142048ca10d8f868db3b5~tplv-resize:640:0.png,1661,"[12.78, 20.58]",零跑汽车,178,中型SUV,增程式,2024.03,4年或12万公里
比亚迪,海豹DM-i,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/74e489c57f1945faa0ac4ede26c433d1~tplv-resize:640:0.png,1641,"[14.68, 21.98]",比亚迪,179,中型车,插电式混合动力,2024.02,6年或15万公里
大众,Polo,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a6ee19f8cb8b4ad8bab7f2b3cb0e4fa1~tplv-resize:640:0.png,1636,"[7.09, 10.49]",上汽大众,180,小型车,汽油,2023.05,3年或10万公里
坦克,坦克400 Hi4-T,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f45e86b33d5d4a7aafddb5dccf225299~tplv-resize:640:0.png,1539,"[27.98, 28.98]",长城汽车,181,中大型SUV,插电式混合动力,2023.09,5年或15万公里
吉利几何,吉利几何A,https://p3-dcd.byteimg.com/img/motor-mis-img/ef638ed8ed491bd5bb2a12337d91faa9~tplv-resize:640:0.png,1531,"[14.38, 20.78]",吉利几何,182,紧凑型车,纯电动,2023.08,4年或15万公里
本田,缤智,https://p9-dcd.byteimg.com/img/motor-mis-img/8667f54bc5d28b9ee06bf37dc60cc85f~tplv-resize:640:0.png,1520,"[9.59, 11.59]",广汽本田,183,小型SUV,汽油,2022.11,3年或10万公里
智己汽车,智己LS6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1d808aff9bfd4dfa9ab5f7296c7c4544~tplv-resize:640:0.png,1491,"[21.99, 28.19]",智己汽车,184,中大型SUV,纯电动,2023.10,5年或15万公里
东风风行,菱智,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1b4c5e581271490ab064442a9188b466~tplv-resize:640:0.png,1479,"[5.39, 9.39]",东风风行,185,中型MPV,汽油,2023.09,5年或10万公里
星途,星途凌云,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/023c83c093834e84a0ed4cf48601be51~tplv-resize:640:0.png,1467,"[12.49, 16.99]",星途,186,中型SUV,汽油,2023.07,3年或10万公里
本田,英仕派,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/068adb9f4c04421fae8d8a372bc5cf0e~tplv-resize:640:0.png,1458,"[14.68, 25.59]",东风本田,187,中型车,汽油,2023.07,3年或10万公里
小鹏汽车,小鹏X9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/dea281f2400b459897787fc584c29832~tplv-resize:640:0.png,1448,"[35.98, 41.98]",小鹏汽车,188,中大型MPV,纯电动,2024.01,5年或12万公里
哈弗,哈弗M6,https://p9-dcd.byteimg.com/img/motor-mis-img/3318a942828459ec7ce8bd81f8e187d9~tplv-resize:640:0.png,1446,"[6.19, 8.29]",长城汽车,189,紧凑型SUV,汽油,2023.03,3年或10万公里
丰田,皇冠陆放,https://p3-dcd.byteimg.com/img/motor-mis-img/7a7143dba294bfc49ff39a154e4b9ad5~tplv-resize:640:0.png,1403,"[24.28, 31.78]",一汽丰田,190,中型SUV,油电混合,2023.03,3年或10万公里
东风风神,东风风神E70,https://p3-dcd.byteimg.com/img/motor-mis-img/3645e5106165def002a7ab1f2300c71c~tplv-resize:640:0.png,1400,"[14.28, 15.38]",东风乘用车,191,紧凑型车,纯电动,2023.03,3年或30万公里
奇瑞,瑞虎5x,https://p3-dcd.byteimg.com/img/motor-mis-img/bf49fad02231fbc7c729f23640775a75~tplv-resize:640:0.png,1226,"[5.79, 8.99]",奇瑞汽车,201,小型SUV,汽油,2023.04,3年或10万公里
林肯,航海家,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/db4c45d357eb479ca8ba4ed41f93fc5e~tplv-resize:640:0.png,1225,"[31.38, 45.38]",长安林肯,202,中型SUV,汽油,2023.04,5年或14万公里
星途,星途瑶光,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fe5ba41003f242d994ad0722c4a9e34a~tplv-resize:640:0.png,1221,"[13.78, 19.18]",星途,203,中型SUV,汽油,2023.02,3年或10万公里
蔚来,蔚来EC6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e3362ddc7fbb4a13a303fc940c09d0fe~tplv-resize:640:0.png,1209,"[35.8, 41.6]",蔚来,204,中型SUV,纯电动,2024.02,3年或12万公里
日产,骐达TIIDA,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c2bc63fa5a1142b9aba74bf02210d1cc~tplv-resize:640:0.png,1200,"[8.09, 10.69]",东风日产,205,紧凑型车,汽油,2023.08,3年或10万公里
雪铁龙,凡尔赛C5 X,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a1102b80c22949dbbd878f5d33a991ed~tplv-resize:640:0.png,1198,"[13.87, 18.67]",东风雪铁龙,206,中型车,汽油,2023.04,5年或15万公里
岚图,岚图梦想家 PHEV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/31400576760b4db4819a38b1aeeb7c38~tplv-resize:640:0.png,1166,"[30.99, 38.99]",岚图汽车,207,中大型MPV,插电式混合动力,2023.10,6年或15万公里
小鹏汽车,小鹏G6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67c41851c96341c19c0461ff9db91911~tplv-resize:640:0.png,1161,"[18.99, 25.69]",小鹏汽车,208,中型SUV,纯电动,2023.06,5年或12万公里
本田,奥德赛,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c5dcacaaacb3459cb9c4c522a0df3c82~tplv-resize:640:0.png,1151,"[20.78, 40.58]",广汽本田,209,中型MPV,油电混合,2023.06,3年或10万公里
荣威,荣威D7 EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/279198c170654088bb304d89cfc3d72f~tplv-resize:640:0.png,1146,"[13.68, 16.38]",上汽集团,210,中型车,纯电动,2023.11,6年或15万公里
大众,揽境,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e14ccc42e68c4f239d6be4af52e2995f~tplv-resize:640:0.png,1119,"[24.49, 34.49]",一汽-大众,211,中大型SUV,汽油,2023.11,3年或10万公里
北京汽车,北京EU5,https://p9-dcd.byteimg.com/img/motor-mis-img/fac9641308c9c3c9b23765bdcbdd6697~tplv-resize:640:0.png,1110,"[12.99, 17.19]",北京汽车,212,紧凑型车,纯电动,2022.09,3年或12万公里
长安,长安UNI-T,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/09a8092ecee34808ae45128f9d2adb1e~tplv-resize:640:0.png,1109,"[9.99, 12.99]",长安汽车,213,紧凑型SUV,汽油,2023.02,3年或10万公里
广汽传祺,传祺GS8,https://p3-dcd.byteimg.com/img/motor-mis-img/bef1e4e3b0a6fa8de3a3887dcaaad449~tplv-resize:640:0.png,1108,"[16.68, 24.78]",广汽乘用车,214,中型SUV,汽油,2023.06,5年或15万公里
大众,ID.4 X,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d16a58d2e5694b7b84ba28604a6421e0~tplv-resize:640:0.png,1100,"[14.98, 23.94]",上汽大众,215,紧凑型SUV,纯电动,2024.01,3年或10万公里
哪吒汽车,哪吒S,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f5b33847b129473f8fd1ea7239dc73f5~tplv-resize:640:0.png,1090,"[15.48, 22.48]",合众汽车,216,中大型车,增程式,2023.07,4年或12万公里
起亚,起亚K3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/472cba0cc0a54bd6aca66872589b2e1d~tplv-resize:640:0.png,1089,"[7.79, 12.09]",起亚,217,紧凑型车,汽油,2024.02,3年或10万公里
比亚迪,元Pro,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/75aceda12312482a844f17861bbac469~tplv-resize:640:0.png,1083,"[7.98, 9.78]",比亚迪,218,小型SUV,纯电动,2023.05,6年或15万公里
广汽传祺,影酷,https://p9-dcd.byteimg.com/img/motor-mis-img/fb916563d977a0dcf0ca3a200e4eda73~tplv-resize:640:0.png,1074,"[9.98, 13.98]",广汽乘用车,219,紧凑型SUV,汽油,2022.09,3年或10万公里
别克,世纪,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c5b214e5d3fa4fa89c233743b464e318~tplv-resize:640:0.png,1071,"[46.99, 68.99]",上汽通用别克,220,中大型MPV,48V轻混系统,2023.08,3年或10万公里
吉利汽车,缤瑞,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9ce764ca8f1a48a0890408952f1ad593~tplv-resize:640:0.png,1049,"[7.48, 9.48]",吉利汽车,221,紧凑型车,汽油,2023.08,4年或10万公里
奇瑞新能源,小蚂蚁,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c582d200e0fe44c7b1b5f3b6134c8849~tplv-resize:640:0.png,1020,"[5.99, 9.2999]",奇瑞新能源,222,微型车,纯电动,2023.10,3年或12万公里
凯迪拉克,凯迪拉克XT5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/34121f151dfa4523a4d827d0d3ea7a3e~tplv-resize:640:0.png,1010,"[25.97, 33.97]",上汽通用凯迪拉克,223,中型SUV,48V轻混系统,2023.09,3年不限公里
本田,冠道,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fc979e09cc8f450c9a1dceb57d57ec05~tplv-resize:640:0.png,1005,"[20.58, 29.58]",广汽本田,224,中型SUV,汽油,2023.08,3年或10万公里
林肯,冒险家,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9d39599a71b34b279c96d02bff066c3d~tplv-resize:640:0.png,947,"[21.58, 32.58]",长安林肯,225,紧凑型SUV,汽油,2024.03,5年或14万公里
比亚迪,秦EV,https://p3-dcd.byteimg.com/img/motor-mis-img/1c7a3356986a77510a0b53855fb5a868~tplv-resize:640:0.png,923,"[15.58, 16.98]",比亚迪,226,紧凑型车,纯电动,2021.05,6年或60万公里
福特,探险者,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/31302546ff654c8cb31296e9b85fe510~tplv-resize:640:0.png,909,"[30.98, 39.98]",长安福特,227,中大型SUV,汽油,2022.09,3年或10万公里
长安,锐程PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6de734d6685c494daee1c10272206263~tplv-resize:640:0.png,906,"[7.99, 10.29]",长安汽车,228,紧凑型车,汽油,2022.09,3年或10万公里
AITO,问界M5,https://p3-dcd.byteimg.com/img/motor-mis-img/87fe46f305be3e4a5b66508782f24e81~tplv-resize:640:0.png,906,"[24.98, 33.18]",赛力斯汽车,229,中型SUV,增程式,2023.07,4年或10万公里
长安,长安UNI-K,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/458c4ef6b652476e8519de66e0912a74~tplv-resize:640:0.png,905,"[12.99, 15.99]",长安汽车,230,中型SUV,汽油,2023.11,3年或10万公里
路虎,揽胜极光,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f6f3c888d1094dbeb62f6472ceb0ca3a~tplv-resize:640:0.png,901,"[23.39, 27.91]",奇瑞捷豹路虎,231,中型SUV,48V轻混系统,2023.03,3年或10万公里
奔驰,奔驰GLA,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f36cf470eaf44e66856e6e3c3132898b~tplv-resize:640:0.png,900,"[18.7, 24.61]",北京奔驰,232,紧凑型SUV,汽油,2023.11,3年不限公里
沃尔沃,沃尔沃S60,https://p3-dcd.byteimg.com/img/motor-mis-img/917e910a69010277adf7b04033758613~tplv-resize:640:0.png,890,"[22.59, 31.39]",沃尔沃亚太,233,中型车,48V轻混系统,2023.07,3年不限公里
本田,艾力绅,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d874253ddcab4fbeac2e52354f3d9e62~tplv-resize:640:0.png,870,"[23.48, 28.68]",东风本田,234,中型MPV,油电混合,2023.07,3年或10万公里
别克,君越,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d46a7ee58b8a41ac8a6872614bd23172~tplv-resize:640:0.png,868,"[15.49, 26.48]",上汽通用别克,235,中型车,汽油,2023.05,3年或10万公里
SRM鑫源,金海狮,https://p3-dcd.byteimg.com/img/motor-mis-img/420edba187de7d68b797455324ccd5af~tplv-resize:640:0.png,861,"[6.09, 10.59]",鑫源汽车,236,中型MPV,汽油,2023.09,2年或10万公里
小鹏汽车,小鹏G9,https://p3-dcd.byteimg.com/img/motor-mis-img/57c7fd76817fb6148dce372c42acc18c~tplv-resize:640:0.png,861,"[25.39, 35.49]",小鹏汽车,237,中大型SUV,纯电动,2023.09,5年或12万公里
小鹏汽车,小鹏P7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/008ce8adb1ad4b24acfb8fade865172a~tplv-resize:640:0.png,836,"[20.39, 28.99]",小鹏汽车,238,中型车,纯电动,2023.11,5年或12万公里
红旗,红旗H6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5f5b06d03ef847f7a958927ccd791263~tplv-resize:640:0.png,823,"[16.08, 20.78]",一汽红旗,239,中型车,汽油,2023.04,4年或10万公里
日产,劲客,https://p9-dcd.byteimg.com/img/motor-mis-img/504fb3220f62bbc899bbe7bdbdb15d0a~tplv-resize:640:0.png,806,"[8.48, 9.88]",东风日产,240,小型SUV,汽油,2023.07,3年或10万公里
智界,智界S7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0e17f8fdf5994a98aab29bf74279e0bf~tplv-resize:640:0.png,794,"[24.98, 34.98]",智界汽车,241,中大型车,纯电动,2023.11,4年或10万公里
启辰,启辰大V DD-i超混动,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9d1e245dc33446edb0cd4bd7bd7ae3c0~tplv-resize:640:0.png,792,"[11.69, 14.79]",东风日产,242,紧凑型SUV,插电式混合动力,2023.07,6年或15万公里
